actual_delay,predicted_delay,absolute_error,relative_error
18.327170,0.000000,18.327170,1.000000
4.334537,0.000000,4.334537,1.000000
17.884770,0.000000,17.884770,1.000000
12.844367,0.000000,12.844367,1.000000
26.437248,0.000000,26.437248,1.000000
9.976953,0.000000,9.976953,1.000000
7.060783,0.000000,7.060783,1.000000
12.308195,0.000000,12.308195,1.000000
42.974755,13.837975,29.136780,0.677998
48.953284,13.646753,35.306531,0.721229
1.965556,0.000000,1.965556,1.000000
14.619707,0.000000,14.619707,1.000000
30.430025,0.000000,30.430025,1.000000
40.241765,18.140610,22.101154,0.549209
38.417561,19.085950,19.331611,0.503197
13.773037,20.597080,6.824043,0.495464
10.234041,0.000000,10.234041,1.000000
3.206559,0.000000,3.206559,1.000000
12.273316,0.000000,12.273316,1.000000
57.616942,0.000000,57.616942,1.000000
58.846798,19.277033,39.569765,0.672420
37.310007,0.000000,37.310007,1.000000
48.084312,22.987018,25.097294,0.521944
57.282101,23.638063,33.644039,0.587339
19.680609,24.700943,5.020334,0.255090
29.612825,0.000000,29.612825,1.000000
29.872198,25.803376,4.068822,0.136208
54.032947,0.000000,54.032947,1.000000
30.990248,26.095164,4.895084,0.157956
4.374041,0.000000,4.374041,1.000000
6.965616,0.000000,6.965616,1.000000
59.477870,0.000000,59.477870,1.000000
22.438610,25.836525,3.397916,0.151432
32.284759,0.000000,32.284759,1.000000
0.394486,0.000000,0.394486,1.000000
17.247161,0.000000,17.247161,1.000000
30.427300,0.000000,30.427300,1.000000
2.286634,0.000000,2.286634,1.000000
28.511230,0.000000,28.511230,1.000000
36.939277,0.000000,36.939277,1.000000
3.518908,0.000000,3.518908,1.000000
3.466874,0.000000,3.466874,1.000000
23.529261,0.000000,23.529261,1.000000
4.587282,0.000000,4.587282,1.000000
3.728444,0.000000,3.728444,1.000000
55.761383,0.000000,55.761383,1.000000
46.282108,23.772675,22.509433,0.486353
17.049971,0.000000,17.049971,1.000000
18.478804,0.000000,18.478804,1.000000
7.531018,0.000000,7.531018,1.000000
16.403035,24.639646,8.236611,0.502139
33.062089,0.000000,33.062089,1.000000
45.370663,24.142680,21.227983,0.467879
11.859935,0.000000,11.859935,1.000000
26.409099,24.711499,1.697600,0.064281
3.428572,0.000000,3.428572,1.000000
9.523583,0.000000,9.523583,1.000000
7.660833,0.000000,7.660833,1.000000
7.337545,0.000000,7.337545,1.000000
13.581343,0.000000,13.581343,1.000000
24.473382,0.000000,24.473382,1.000000
29.645163,23.158506,6.486657,0.218810
7.012197,0.000000,7.012197,1.000000
5.410412,0.000000,5.410412,1.000000
41.985148,0.000000,41.985148,1.000000
14.305161,0.000000,14.305161,1.000000
