metric,value
prob_call_delayed,0.154060
prob_call_lost,0.019520
avg_delay,26.026069
avg_abs_prediction_error,30.799080
avg_rel_prediction_error,1.812529
delay_distribution,predicted_waiting,actual_waiting,error,relative_error
,0.000000,0.357188,-0.357188,-1.000000
,0.000000,22.951405,-22.951405,-1.000000
,0.000000,6.249592,-6.249592,-1.000000
,0.000000,12.605183,-12.605183,-1.000000
,87.191766,15.420452,71.771314,4.654294
,86.992404,17.862059,69.130344,3.870234
,86.631329,24.166154,62.465175,2.584821
,0.000000,12.234228,-12.234228,-1.000000
,86.346440,19.937404,66.409036,3.330877
,0.000000,11.458620,-11.458620,-1.000000
,85.884229,31.994207,53.890023,1.684368
,0.000000,0.248502,-0.248502,-1.000000
,0.000000,25.048320,-25.048320,-1.000000
,0.000000,7.801480,-7.801480,-1.000000
,0.000000,80.626028,-80.626028,-1.000000
,87.191678,53.506331,33.685347,0.629558
,0.000000,5.744569,-5.744569,-1.000000
,88.699658,6.896339,81.803320,11.861848
,0.000000,46.851384,-46.851384,-1.000000
,89.368796,33.048179,56.320616,1.704197
,0.000000,47.083367,-47.083367,-1.000000
,88.290709,42.257439,46.033270,1.089353
,0.000000,41.480399,-41.480399,-1.000000
,87.401312,114.893198,-27.491886,-0.239282
,87.298444,195.763467,-108.465023,-0.554062
,88.135346,102.283561,-14.148216,-0.138323
,0.000000,14.106171,-14.106171,-1.000000
,0.000000,39.346905,-39.346905,-1.000000
,92.106777,11.321299,80.785479,7.135708
,92.066703,5.788075,86.278629,14.906274
,0.000000,4.233647,-4.233647,-1.000000
,0.000000,21.405537,-21.405537,-1.000000
,0.000000,7.597969,-7.597969,-1.000000
,0.000000,3.778395,-3.778395,-1.000000
,0.000000,5.783777,-5.783777,-1.000000
,0.000000,0.573993,-0.573993,-1.000000
,0.000000,12.176833,-12.176833,-1.000000
,0.000000,4.570712,-4.570712,-1.000000
,0.000000,15.317567,-15.317567,-1.000000
,0.000000,9.279394,-9.279394,-1.000000
,0.000000,73.380102,-73.380102,-1.000000
,92.859262,75.854722,17.004540,0.224172
,92.817217,18.637096,74.180121,3.980240
,0.000000,14.450892,-14.450892,-1.000000
,0.000000,1.561367,-1.561367,-1.000000
,0.000000,49.727300,-49.727300,-1.000000
,93.707456,51.736387,41.971069,0.811249
,0.000000,24.828356,-24.828356,-1.000000
,0.000000,7.379573,-7.379573,-1.000000
,0.000000,16.713261,-16.713261,-1.000000
,0.000000,3.213848,-3.213848,-1.000000
,92.715829,10.894996,81.820833,7.509946
,0.000000,0.089085,-0.089085,-1.000000
,0.000000,70.393390,-70.393390,-1.000000
,92.759075,66.533149,26.225926,0.394178
,0.000000,3.047178,-3.047178,-1.000000
,0.000000,8.071582,-8.071582,-1.000000
,0.000000,10.896733,-10.896733,-1.000000
,92.255767,21.556669,70.699097,3.279686
,0.000000,33.258241,-33.258241,-1.000000
,0.000000,10.399230,-10.399230,-1.000000
,91.185020,28.275029,62.909991,2.224931
,0.000000,37.702819,-37.702819,-1.000000
,90.995685,46.230539,44.765146,0.968302
,0.000000,61.738905,-61.738905,-1.000000
,91.005965,34.469430,56.536535,1.640194
,0.000000,19.256417,-19.256417,-1.000000
,91.455419,30.487706,60.967712,1.999747
,0.000000,42.703215,-42.703215,-1.000000
,91.822706,20.108966,71.713740,3.566257
,0.000000,47.454037,-47.454037,-1.000000
,91.683713,56.075925,35.607788,0.634992
,91.617961,13.197441,78.420521,5.942101
,91.602050,82.406993,9.195057,0.111581
,91.917160,11.742718,80.174442,6.827588
,0.000000,27.543884,-27.543884,-1.000000
,0.000000,12.503350,-12.503350,-1.000000
,0.000000,9.197959,-9.197959,-1.000000
,0.000000,6.450430,-6.450430,-1.000000
,0.000000,20.754665,-20.754665,-1.000000
,0.000000,40.898949,-40.898949,-1.000000
,0.000000,25.511393,-25.511393,-1.000000
,92.709795,11.090198,81.619596,7.359616
,0.000000,62.348949,-62.348949,-1.000000
,92.524930,85.837881,6.687050,0.077903
,92.505288,26.192525,66.312764,2.531744
,92.896788,34.015378,58.881409,1.731023
,0.000000,35.791623,-35.791623,-1.000000
,0.000000,11.113841,-11.113841,-1.000000
,0.000000,2.908808,-2.908808,-1.000000
,0.000000,35.952098,-35.952098,-1.000000
,93.111374,17.371921,75.739453,4.359878
,0.000000,7.349122,-7.349122,-1.000000
,0.000000,3.591609,-3.591609,-1.000000
,0.000000,33.194585,-33.194585,-1.000000
,0.000000,16.076173,-16.076173,-1.000000
,0.000000,8.005945,-8.005945,-1.000000
,92.386729,8.690367,83.696362,9.630935
,0.000000,35.105750,-35.105750,-1.000000
,92.277157,64.363322,27.913835,0.433692
,92.212307,60.294346,31.917962,0.529369
,0.000000,14.779743,-14.779743,-1.000000
,0.000000,31.500715,-31.500715,-1.000000
,91.938515,51.649429,40.289086,0.780049
,91.877903,51.241446,40.636457,0.793039
,0.000000,32.411233,-32.411233,-1.000000
