metric,value
prob_call_delayed,0.307000
prob_call_lost,0.020000
avg_delay,15.561160
avg_abs_prediction_error,2201.294957
avg_rel_prediction_error,150.479634
delay_distribution,predicted_waiting,actual_waiting,error,relative_error
,0.000000,0.725472,-0.725472,-1.000000
,71.262090,0.732204,70.529886,96.325495
,142.524180,1.284105,141.240075,109.991038
,213.786270,1.413482,212.372788,150.247966
,285.048361,1.782430,283.265930,158.921187
,71.181754,1.362198,69.819556,51.255066
,71.108885,0.902429,70.206456,77.797166
,142.217771,0.544026,141.673745,260.417201
,142.232304,0.259654,141.972650,546.776738
,213.348456,0.511948,212.836507,415.738289
,284.464607,0.805050,283.659557,352.350258
,142.241405,0.968418,141.272987,145.880141
,213.362107,1.432264,211.929843,147.968421
,70.892195,1.117286,69.774908,62.450334
,141.784390,2.593845,139.190545,53.661865
,141.896456,2.423315,139.473141,57.554686
,212.844685,2.554411,210.290273,82.324358
,283.792913,2.464546,281.328367,114.150184
,354.741141,4.998043,349.743098,69.976007
,425.689369,5.409703,420.279667,77.689974
,496.637598,5.149206,491.488392,95.449354
,495.733263,4.923468,490.809794,99.687811
,566.552300,4.776609,561.775691,117.609724
,637.371338,5.516549,631.854789,114.538065
,637.256729,4.404218,632.852511,143.692352
,494.817313,4.449429,490.367884,110.209165
,565.505501,4.524027,560.981474,124.000472
,636.193689,3.506777,632.686911,180.418341
,706.881876,4.151091,702.730785,169.288222
,777.570064,4.065015,773.505049,190.283452
,848.258251,3.843606,844.414646,219.693364
,918.946439,3.904544,915.041895,234.353088
,989.634627,4.452664,985.181963,221.256764
,1060.322814,4.197257,1056.125557,251.622790
,1131.011002,4.262796,1126.748206,264.321396
,1201.699189,4.776969,1196.922220,250.561015
,1272.387377,5.739654,1266.647724,220.683657
,1271.660992,5.505493,1266.155499,229.980388
,1342.308825,5.377768,1336.931057,248.603332
,1300.011279,5.554478,1294.456800,233.047407
,1300.749306,5.831733,1294.917574,222.046795
,1298.470945,5.740697,1292.730248,225.187003
,1370.608220,6.233311,1364.374909,218.884463
,1442.745494,6.613798,1436.131696,217.141737
,1367.869811,6.473846,1361.395965,210.291681
,1439.862959,8.308469,1431.554490,172.300640
,1511.856107,8.495390,1503.360717,176.961945
,1508.612725,8.331385,1500.281340,180.075860
,1435.834143,8.357239,1427.476904,170.807230
,1507.625851,9.996572,1497.629278,149.814281
,1579.417558,9.823327,1569.594231,159.782344
,1358.356949,9.536376,1348.820573,141.439539
,1429.849420,9.936095,1419.913325,142.904563
,1501.341891,9.963246,1491.378645,149.688026
,1572.834362,10.138700,1562.695662,154.131760
,1644.326833,10.195688,1634.131145,160.276699
,1567.858834,10.798496,1557.060339,144.192337
,1567.925645,11.057838,1556.867807,140.793146
,1639.194992,11.333248,1627.861744,143.635946
,1636.938713,11.131343,1625.807370,146.056709
,1708.109961,11.272650,1696.837311,150.526919
,1779.281210,11.156649,1768.124561,158.481689
,1702.860146,11.118927,1691.741219,152.149686
,1705.663298,11.060161,1694.603137,153.216864
,1776.732602,11.405297,1765.327305,154.781356
,1774.934289,12.072672,1762.861616,146.020827
,1845.931660,12.337150,1833.594511,148.623834
,1844.073025,12.168836,1831.904189,150.540627
,1842.326074,12.092617,1830.233458,151.351317
,1913.184769,12.515086,1900.669684,151.870291
,1766.864128,13.609855,1753.254274,128.822410
,1837.538694,13.661400,1823.877294,133.505886
,1908.213259,13.228718,1894.984541,143.247786
,1978.887824,13.201344,1965.686480,148.900487
,2049.562389,12.954337,2036.608051,157.214374
,1836.668212,13.630323,1823.037889,133.748693
,1907.309297,13.426031,1893.883267,141.060551
,1977.950383,13.578072,1964.372310,144.672401
,1978.660661,13.532064,1965.128597,145.220170
,1977.358188,14.159356,1963.198832,138.650289
,1976.076353,14.095625,1961.980728,139.190760
,2046.650509,14.093861,2032.556648,144.215743
,1909.680336,14.352591,1895.327745,132.054747
,1980.409237,14.486972,1965.922265,135.702769
,2051.138139,14.535364,2036.602774,140.113640
,2121.867040,14.768057,2107.098982,142.679495
,2121.814251,14.736156,2107.078096,142.986957
,2192.541393,14.497940,2178.043453,150.231235
,2263.268535,15.582257,2247.686278,144.246519
,2264.264179,16.251269,2248.012910,138.328457
,2335.022435,16.129278,2318.893157,143.769189
,2331.588479,16.239449,2315.349030,142.575594
,2402.242675,18.483865,2383.758810,128.964308
,2472.896871,19.442448,2453.454423,126.190614
,2543.551068,20.697788,2522.853280,121.889996
,2539.162130,20.886544,2518.275587,120.569283
,2609.694412,20.840963,2588.853448,124.219471
,2680.226693,20.844115,2659.382578,127.584337
,2750.758975,21.369210,2729.389765,127.725349
,2747.446266,21.420235,2726.026031,127.264057
,2679.618475,21.173534,2658.444940,125.555086
,2608.201192,21.361628,2586.839564,121.097492
,2678.693116,21.366817,2657.326298,124.366968
,2673.188144,22.426754,2650.761390,118.196392
,2743.535200,22.682609,2720.852592,119.953248
,2813.882257,22.768451,2791.113806,122.586900
,2884.229313,22.788022,2861.441291,125.567777
,2954.576369,23.712674,2930.863695,123.599036
,2971.749076,23.602635,2948.146441,124.907515
,2970.204651,23.397229,2946.807421,125.946853
,2963.611855,24.468527,2939.143328,120.119342
,2960.207981,24.378897,2935.829084,120.425015
,3030.689123,24.647122,3006.042001,121.963205
,3101.170266,25.221273,3075.948993,121.958516
,3103.865650,25.471214,3078.394437,120.857783
,3174.408052,25.402021,3149.006030,123.966751
,3244.950453,25.026301,3219.924151,128.661607
,3315.492854,25.048516,3290.444337,131.362843
,3386.035255,25.066084,3360.969171,134.084335
,3456.577656,25.611041,3430.966615,133.964357
,3527.120057,25.532981,3501.587076,137.139766
,3597.662458,25.569142,3572.093316,139.703293
,3668.204860,25.688462,3642.516398,141.795817
,3738.747261,27.385819,3711.361442,135.521287
,3809.289662,27.356618,3781.933044,138.245635
,3879.832063,27.785502,3852.046561,138.635124
,3950.374464,28.001045,3922.373419,140.079535
,3949.752250,28.108652,3921.643597,139.517311
,4020.283540,28.359251,3991.924289,140.762686
,4012.493498,28.696595,3983.796903,138.824725
,4082.888121,28.542936,4054.345185,142.043732
,4006.936958,28.574015,3978.362943,139.230098
,4003.376412,28.723884,3974.652528,138.374480
,4073.611086,29.547708,4044.063378,136.865552
,4143.845760,29.576038,4114.269722,139.108209
,4214.080434,29.259846,4184.820588,143.022645
,4284.315108,29.610916,4254.704192,143.687019
,4354.549782,29.500062,4325.049720,146.611549
,4349.757797,29.601471,4320.156325,145.943973
,4419.915180,30.272535,4389.642645,145.004130
,4410.566630,30.329185,4380.237445,144.423181
,4409.056392,30.433879,4378.622513,143.873299
,4462.726553,29.372833,4433.353720,150.933814
,4533.563483,30.892886,4502.670597,145.751051
,4604.400412,31.213646,4573.186765,146.512416
,4617.548576,31.475651,4586.072925,145.702244
,4688.587785,31.540784,4657.047001,147.651594
,4759.626993,31.676802,4727.950191,149.255917
,4830.666202,32.093764,4798.572439,149.517286
,4748.288814,31.912006,4716.376807,147.793177
,4681.516573,31.253938,4650.262635,148.789654
,4683.468002,31.393547,4652.074455,148.185693
,4754.429638,31.379229,4723.050410,150.515186
,4825.391275,32.104049,4793.287225,149.304756
,4689.615477,31.993941,4657.621536,145.578237
combined_avg_total_answer_time,230.753300
